,UK_G,DE_F,UK_F,NL_E,DK_B,DE_C,UK_H,NL_D,NL_C,DE_E,DE_D,BE_B,UK_B,UK_C,UK_D,UK_E,DE_A,DK_A,DE_B,NL_B,BE_A,NL_A,NL4,DE2,BE2,DE3,DK1,NL2,NL3,DE1,NO1,UK4,DE4,NL1,UK1,UK2,BE1,UK3,UK_L,UK_K,UK_J,UK_I,UK_O,UK_N,UK_M,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.4551118713116,3862.332746727472,8109.80474149527,5746.538116589746,1327.1092427074923,4019.2392092891896,303.1583863172314,10926.14354404616,1148.0205196743843,9950.855398175376,20067.45697087425,7034.749601607333,1467.0212920844833,5649.98254114325,158.90661890985461,2263.3905260904426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3662.161331067185,3931.718912582088,8127.099695163933,5849.773718748936,1327.1457798049107,4032.128039241263,304.13054962633663,11122.429896831502,1149.1618891857636,10101.48218086651,20427.965500037415,7057.308520509443,1489.2276943005775,5735.50671553629,159.24550285333945,2297.6516241846934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3688.255930258824,4084.090397772512,8168.155722249094,6076.47830505628,1327.1823169023291,4060.8588229401644,306.29762094761,11553.4732140135,1151.5698101329538,10594.337413616026,21219.639450252555,7107.595119205183,1561.88769099708,6015.344312297717,160.04997036617522,2409.7549379102556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3762.3910860238684,4524.000891738396,8292.653643367861,6730.99529963804,1327.2188539997471,4142.483419245605,312.4543037453301,12797.934921171185,1161.1915598387716,11987.700901123475,23505.27496836689,7250.460115897581,1767.306604446604,6806.480256181203,162.48943029608733,2726.685050029358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.90864240205,4906.093622867428,8397.862192258548,7299.488639670762,1327.2553910971656,4214.619830575702,317.8953230315188,13878.836102197009,1172.1520088378884,15579.046187441038,25490.507713347863,7376.718237009892,2296.7666148112585,8845.605271567516,164.55092688170654,3543.561245261904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3816.7738820665945,4816.9363458308335,8378.675175932978,7166.836762046742,1327.291928194584,4202.360190625394,316.97061751621237,13626.61930194242,1169.2730288922708,18240.9548909635,25027.27475598858,7355.26056983324,2689.2029018834737,10357.006764124319,164.17496913815398,4149.0306948506495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3815.5753733424885,4809.259800564001,8374.312416650933,7155.415281073369,1327.3284652920022,4201.040603585155,316.87108527717584,13604.903142044275,1167.4949303607982,17781.52999243549,24987.389859494964,7352.950937606287,2621.4714274237076,10096.150530988249,164.08948356251736,4044.531340657538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3802.7532109436393,4728.8655396892755,8343.677358834553,7035.801380675194,1327.3650023894206,4186.923093224944,315.80624652616865,13377.476016512688,1165.4993808562258,17042.544557401332,24569.686757095064,7328.241497532988,2512.525279142404,9676.563004184498,163.48920851115884,3876.444018950317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3789.0573817028703,4648.866899453328,8318.788362195346,6916.776100996551,1327.4015394868388,4171.843654579276,314.6688525945448,13151.168061226583,1163.380269846551,16453.241831503565,24154.03917416127,7301.848424246903,2425.646351474138,9341.96361754473,163.0015239823614,3742.4030593117263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3778.8034965745433,4583.867863296218,8302.626187478561,6820.067851523507,1327.438076584257,4160.553879498548,313.8173008910663,12967.292448779941,1161.5109316517608,15819.18846199599,23816.324780615996,7282.08828143982,2332.169986260743,8981.95532433531,162.6848361433394,3598.183257882161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
