,UK_L,UK_K,UK_J,UK_I,UK_H,UK_G,UK_F,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
77,1.0,1.0,1.0,1.0,1.0,0.9670304060846581,0.7329250801665368,0.06569476865112248,1.0,1.0,0.9858428718040134,0.2469712539971723,0.6761279531888674,0.4204425429037781,0.9957584522768382,0.7886278492527347,0.29785464663899847
78,1.0,1.0,1.0,1.0,1.0,0.9845479276189266,0.7022397240953168,0.054006622742142935,1.0,1.0,0.9954640520596597,0.31679975008854055,0.6908636316064204,0.49308350408327684,1.0,0.8128326549721503,0.36685734962555683
79,1.0,1.0,1.0,1.0,1.0,0.9911129897376953,0.7250862124867542,0.054311498350041634,1.0,1.0,1.0,0.3952465752988475,0.7319074128626862,0.5792444481279434,1.0,0.842512661158554,0.45013679673616463
80,1.0,0.9838937790331335,1.0,1.0,1.0,0.9942874207575132,0.7910040923492151,0.057194159649436103,1.0,1.0,1.0,0.41512766382538585,0.7788737046254063,0.6462507821523206,1.0,0.8740691992856838,0.49869062556004257
81,1.0,0.9637247657293548,1.0,1.0,1.0,0.9974969622225531,0.8645676710054514,0.05163900457323944,1.0,1.0,1.0,0.43767334075816383,0.8104625383807785,0.7220196791013423,1.0,0.9240942634940509,0.5486008253019368
82,1.0,0.9248156417781936,1.0,1.0,1.0,1.0,0.8721975504333713,0.03490258329755609,1.0,1.0,1.0,0.42563087906520364,0.8241714751802096,0.7558541800620563,1.0,0.9430955091657789,0.5556366709023539
83,1.0,0.9265202581196381,1.0,1.0,1.0,1.0,0.875527510694057,0.0348783264484316,1.0,1.0,1.0,0.41011821765182854,0.8274696469817476,0.7953893776707379,1.0,0.9474640360848902,0.5706375999825778
84,1.0,0.9514454570976993,1.0,1.0,1.0,1.0,0.8664641989714663,0.04214293683410499,1.0,1.0,1.0,0.3938685020183842,0.8582950843419148,0.8248416783045748,1.0,0.9492614072817713,0.5825449900142823
85,1.0,0.965737453742404,1.0,1.0,1.0,1.0,0.8183843373317345,0.045289105047469976,1.0,1.0,1.0,0.39729575358410313,0.8561112918974547,0.859362572695451,1.0,0.952503132910114,0.6240464562759455
86,1.0,0.9680628400711141,1.0,1.0,1.0,1.0,0.795517539288783,0.028925723286523635,1.0,1.0,1.0,0.43690967569332717,0.7951444531647572,0.9427815810530893,1.0,0.950737506898093,0.7163420050163585
87,1.0,0.9555274146180006,1.0,1.0,1.0,0.9996955151592801,0.8221751986215353,0.024116043414137058,1.0,1.0,1.0,0.4878072633481888,0.7854574641821452,0.9775723792634704,1.0,0.9575520721981273,0.7845444437418325
88,1.0,0.9302136824162364,1.0,1.0,1.0,1.0,0.792260735697938,0.018286419350879993,1.0,1.0,1.0,0.544557164757045,0.7648720436731835,0.9932973595361733,1.0,0.973444338654026,0.8206434065434728
89,1.0,0.9213659149270105,1.0,1.0,1.0,1.0,0.8141117516922127,0.017288713650012652,1.0,1.0,1.0,0.5527267838502872,0.825018936677393,0.9944238289590049,1.0,0.9951056091360693,0.8288296839693767
90,1.0,0.90901386874924,1.0,1.0,1.0,1.0,0.9175584099987104,0.025890279964551243,1.0,1.0,1.0,0.6073537401656411,0.9576238350727684,0.9976590845375992,1.0,1.0,0.8773470177620362
91,1.0,0.9260420445730946,1.0,1.0,1.0,1.0,0.9597917876834604,0.0355159952076321,1.0,1.0,1.0,0.7101310734195373,0.9796537970885394,1.0,1.0,1.0,0.9310022564333346
92,1.0,0.9428093701256146,1.0,1.0,1.0,1.0,0.9643934553400711,0.04731657884781162,1.0,1.0,1.0,0.8427421614782252,0.9796513752003955,1.0,1.0,1.0,0.9710753114923856
93,1.0,0.9576576601390266,1.0,1.0,1.0,1.0,0.9519804458320406,0.04887563639527471,1.0,1.0,1.0,0.8880831717032662,0.9831179498399741,1.0,1.0,1.0,0.9800565635857679
94,1.0,0.9799154043540151,1.0,1.0,1.0,1.0,0.9459582263549741,0.08095113714800457,0.0,1.0,1.0,0.8808388477825772,0.9842172267795809,1.0,1.0,1.0,0.9871343529709762
95,1.0,0.9889240840853768,1.0,1.0,1.0,1.0,0.9147431617265165,0.07396617125533385,0.7439966205687369,1.0,1.0,0.8361237253259096,0.973151618947015,1.0,1.0,1.0,0.9781004168438662
96,1.0,1.0,1.0,1.0,1.0,1.0,0.9217411998297261,0.06345977485754005,1.0,0.0,1.0,0.8629080188103716,0.9756853389996759,1.0,1.0,1.0,0.9774281444291097
97,1.0,1.0,1.0,1.0,1.0,1.0,0.9532183434932051,0.05301521174623475,1.0,0.4443550220295904,1.0,0.954945184946132,0.9901810914825757,1.0,1.0,1.0,0.9928439572875574
98,0.7937231343132041,1.0,1.0,1.0,1.0,1.0,0.96368220809107,0.05753204151611759,1.0,1.0,1.0,0.9918125754314562,0.999967195522941,1.0,1.0,1.0,1.0
99,0.0,1.0,1.0,1.0,1.0,1.0,0.9770048587467917,0.06497224336788801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.6376210149916587,1.0,1.0,1.0,1.0,1.0,0.9929933984758086,0.08628240255924545,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07937153291303628,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102,0.0,1.0,0.4207799153408729,1.0,1.0,1.0,1.0,0.06389523305645727,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103,0.0,1.0,0.0,0.9469230753771144,1.0,1.0,1.0,0.0516130574746423,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,0.0,1.0,0.1886391856082241,0.35288609029689866,1.0,1.0,1.0,0.05278424199004523,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.06563344506646604,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0879889979929239,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,0.8807918229443814,1.0,1.0,1.0,1.0,1.0,1.0,0.081102142784937,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07874526165843598,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.045097056632491556,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0241540322448227,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024229423296483595,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04531540766096542,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06288697791846684,0.9937689146320993,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0910072586779923,0.9903519364700196,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10969066335977097,0.9948276264390608,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08936617786497043,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,1.0,1.0,1.0,1.0,0.9905925710409553,0.9935858581470784,1.0,0.07473089006641724,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,0.8959461476680805,0.9445462301701738,1.0,0.03994318048479753,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,1.0,1.0,1.0,0.9992432231520221,0.6199638580930201,0.7541577023026487,0.9958858752670456,0.0409723313487571,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,1.0,1.0,0.9782705108530566,0.9923982475190829,0.37761155170038585,0.5259331205872579,0.965619093580036,0.043475088547558736,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,1.0,1.0,0.9187875951791636,0.9683729176819575,0.2765741504363388,0.38941888477519615,0.835920694225105,0.045096669296796586,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,1.0,1.0,0.8804943290104087,0.8421790453927499,0.25633934569550343,0.26481249804005735,0.5272554392344584,0.03031723011194774,1.0,0.0,1.0,1.0,0.9928163961109431,1.0,1.0,1.0,1.0
123,1.0,1.0,0.8876354662209914,0.6299733282860057,0.2275748674269985,0.1908552677249552,0.24069493458579502,0.01886503373024377,1.0,0.0,1.0,0.99334641993469,0.9629919792594402,1.0,1.0,1.0,1.0
124,1.0,1.0,0.8958146357717574,0.49409089793113947,0.22546898808080604,0.16411454182973795,0.1301286384636437,0.011266549883358777,1.0,0.0,1.0,0.9772314146351072,0.8764086146204927,1.0,1.0,1.0,1.0
125,1.0,1.0,0.8995973817262981,0.4336644724816084,0.28510626367818853,0.22232590851228615,0.15671543494215426,0.00856389179989353,1.0,0.522663488399111,1.0,0.93658084583824,0.8165686153604708,1.0,0.9841400951720293,1.0,0.9946953761564347
126,1.0,1.0,0.9219987102673917,0.395613231681801,0.2968438613612532,0.3006541102380797,0.2518288446629801,0.009528816313738147,1.0,1.0,1.0,0.8359901146647616,0.730523136678633,1.0,0.9579757841709478,0.9877213805062426,0.973113072178622
